ds,y,AWND_x,PRCP_x,SNWD_x,SNOW_x,TMAX_x,TMIN_x,AWND_y,PRCP_y,SNWD_y,SNOW_y,TMAX_y,TMIN_y
2017-05-29,49,3.8,0.0,0.0,0.0,85.0,63.0,3.8,0.0,0.0,0.0,85.0,63.0
2017-05-30,49,4.92,0.16,0.0,0.0,87.0,62.0,4.92,0.16,0.0,0.0,87.0,62.0
2017-05-31,40,2.46,0.0,0.0,0.0,87.0,61.0,2.46,0.0,0.0,0.0,87.0,61.0
2017-06-01,57,4.25,0.02,0.0,0.0,83.0,65.0,4.25,0.02,0.0,0.0,83.0,65.0
2017-06-02,46,5.82,0.01,0.0,0.0,82.0,65.0,5.82,0.01,0.0,0.0,82.0,65.0
2017-06-03,47,4.25,0.35,0.0,0.0,86.0,68.0,4.25,0.35,0.0,0.0,86.0,68.0
2017-06-04,50,3.8,0.51,0.0,0.0,80.0,70.0,3.8,0.51,0.0,0.0,80.0,70.0
2017-06-05,52,6.49,0.16,0.0,0.0,78.0,69.0,6.49,0.16,0.0,0.0,78.0,69.0
2017-06-06,40,9.4,0.0,0.0,0.0,89.0,67.0,9.4,0.0,0.0,0.0,89.0,67.0
2017-06-07,31,6.93,0.0,0.0,0.0,83.0,62.0,6.93,0.0,0.0,0.0,83.0,62.0
2017-06-08,48,5.14,0.0,0.0,0.0,83.0,59.0,5.14,0.0,0.0,0.0,83.0,59.0
2017-06-09,65,4.92,0.0,0.0,0.0,84.0,57.0,4.92,0.0,0.0,0.0,84.0,57.0
2017-06-10,48,7.38,0.0,0.0,0.0,86.0,60.0,7.38,0.0,0.0,0.0,86.0,60.0
2017-06-11,48,7.38,0.0,0.0,0.0,89.0,66.0,7.38,0.0,0.0,0.0,89.0,66.0
2017-06-12,50,7.38,0.08,0.0,0.0,88.0,71.0,7.38,0.08,0.0,0.0,88.0,71.0
2017-06-13,45,6.26,0.04,0.0,0.0,87.0,69.0,6.26,0.04,0.0,0.0,87.0,69.0
2017-06-14,59,8.05,0.0,0.0,0.0,91.0,72.0,8.05,0.0,0.0,0.0,91.0,72.0
2017-06-15,45,6.04,0.14,0.0,0.0,87.0,69.0,6.04,0.14,0.0,0.0,87.0,69.0
2017-06-16,51,6.49,0.0,0.0,0.0,92.0,72.0,6.49,0.0,0.0,0.0,92.0,72.0
2017-06-17,68,6.71,0.0,0.0,0.0,88.0,68.0,6.71,0.0,0.0,0.0,88.0,68.0
2017-06-18,49,5.82,0.24,0.0,0.0,83.0,71.0,5.82,0.24,0.0,0.0,83.0,71.0
2017-06-19,48,5.37,0.34,0.0,0.0,88.0,63.0,5.37,0.34,0.0,0.0,88.0,63.0
2017-06-20,63,4.47,0.0,0.0,0.0,90.0,66.0,4.47,0.0,0.0,0.0,90.0,66.0
2017-06-21,52,8.5,0.0,0.0,0.0,87.0,67.0,8.5,0.0,0.0,0.0,87.0,67.0
2017-06-22,47,9.4,0.71,0.0,0.0,86.0,74.0,9.4,0.71,0.0,0.0,86.0,74.0
2017-06-23,65,8.28,0.5,0.0,0.0,90.0,70.0,8.28,0.5,0.0,0.0,90.0,70.0
2017-06-24,50,7.61,0.0,0.0,0.0,83.0,68.0,7.61,0.0,0.0,0.0,83.0,68.0
2017-06-25,36,4.47,0.0,0.0,0.0,85.0,65.0,4.47,0.0,0.0,0.0,85.0,65.0
2017-06-26,56,4.03,0.0,0.0,0.0,84.0,66.0,4.03,0.0,0.0,0.0,84.0,66.0
2017-06-27,50,6.04,0.0,0.0,0.0,85.0,63.0,6.04,0.0,0.0,0.0,85.0,63.0
2017-06-28,42,6.49,0.0,0.0,0.0,88.0,67.0,6.49,0.0,0.0,0.0,88.0,67.0
2017-06-29,45,8.05,0.0,0.0,0.0,88.0,71.0,8.05,0.0,0.0,0.0,88.0,71.0
2017-06-30,50,8.5,0.14,0.0,0.0,88.0,69.0,8.5,0.14,0.0,0.0,88.0,69.0
2017-07-01,56,7.38,0.03,0.0,0.0,91.0,68.0,7.38,0.03,0.0,0.0,91.0,68.0
2017-07-02,51,8.28,0.0,0.0,0.0,89.0,68.0,8.28,0.0,0.0,0.0,89.0,68.0
2017-07-03,44,5.14,0.51,0.0,0.0,87.0,70.0,5.14,0.51,0.0,0.0,87.0,70.0
2017-07-04,46,6.49,0.07,0.0,0.0,88.0,73.0,6.49,0.07,0.0,0.0,88.0,73.0
2017-07-05,49,7.16,0.83,0.0,0.0,84.0,71.0,7.16,0.83,0.0,0.0,84.0,71.0
2017-07-06,55,7.61,0.69,0.0,0.0,91.0,72.0,7.61,0.69,0.0,0.0,91.0,72.0
2017-07-07,51,5.14,0.0,0.0,0.0,94.0,72.0,5.14,0.0,0.0,0.0,94.0,72.0
2017-07-08,47,4.92,0.62,0.0,0.0,90.0,69.0,4.92,0.62,0.0,0.0,90.0,69.0
2017-07-09,46,5.37,0.0,0.0,0.0,89.0,71.0,5.37,0.0,0.0,0.0,89.0,71.0
2017-07-10,42,5.14,0.0,0.0,0.0,91.0,69.0,5.14,0.0,0.0,0.0,91.0,69.0
2017-07-11,51,6.49,0.0,0.0,0.0,92.0,72.0,6.49,0.0,0.0,0.0,92.0,72.0
2017-07-12,54,6.93,0.0,0.0,0.0,92.0,74.0,6.93,0.0,0.0,0.0,92.0,74.0
2017-07-13,31,5.37,0.0,0.0,0.0,93.0,73.0,5.37,0.0,0.0,0.0,93.0,73.0
2017-07-14,45,4.92,0.12,0.0,0.0,92.0,73.0,4.92,0.12,0.0,0.0,92.0,73.0
2017-07-15,36,5.59,0.0,0.0,0.0,91.0,72.0,5.59,0.0,0.0,0.0,91.0,72.0
2017-07-16,45,4.03,0.0,0.0,0.0,91.0,74.0,4.03,0.0,0.0,0.0,91.0,74.0
2017-07-17,47,2.46,0.0,0.0,0.0,92.0,72.0,2.46,0.0,0.0,0.0,92.0,72.0
2017-07-18,56,2.91,0.0,0.0,0.0,94.0,71.0,2.91,0.0,0.0,0.0,94.0,71.0
2017-07-19,47,3.58,0.0,0.0,0.0,95.0,75.0,3.58,0.0,0.0,0.0,95.0,75.0
2017-07-20,43,5.14,0.0,0.0,0.0,96.0,77.0,5.14,0.0,0.0,0.0,96.0,77.0
2017-07-21,49,6.04,0.0,0.0,0.0,96.0,77.0,6.04,0.0,0.0,0.0,96.0,77.0
2017-07-22,41,6.71,0.0,0.0,0.0,96.0,76.0,6.71,0.0,0.0,0.0,96.0,76.0
2017-07-23,41,4.7,1.13,0.0,0.0,96.0,71.0,4.7,1.13,0.0,0.0,96.0,71.0
2017-07-24,70,5.59,0.0,0.0,0.0,92.0,71.0,5.59,0.0,0.0,0.0,92.0,71.0
2017-07-25,55,6.04,0.0,0.0,0.0,94.0,76.0,6.04,0.0,0.0,0.0,94.0,76.0
